Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,Post lipid correction,dCnormalized = dCraw - 3.32 + 0.99 X C:N
OP3-22-132-M,3.724078007,-28.92316277,-28.25252061,-29.29,6.71,lake,common shiner,may,muscle,,,
OP3-22-132-L,6.013835357,-28.246303,-28.36581157,-30.88,6.09,lake,common shiner,may,liver,,,
OP7-S22-105-M,3.697479761,-28.73949504,-28.06069219,-29.08,5.78,lake,common shiner,august,muscle,,,
OP7-S22-105-L,6.511177254,-22.69393452,-23.00642655,-25.82,3.8,lake,common shiner,august,liver,,,
WU-22-03-M,3.759399279,-31.19819471,-30.53842778,-31.6,5.41,creek,common shiner,may,muscle,,,
WU-22-07-M,3.770884673,-29.95682417,-29.3006029,-30.37,6.83,creek,common shiner,may,muscle,,,
WU-22-07-L,5.687522094,-30.41935313,-30.41618597,-32.73,3.86,creek,common shiner,may,liver,,,
OP7-S22-106-M,3.736230882,-31.96113143,-31.29422615,-32.34,4.19,lake,common shiner,august,muscle,,,
CC25-22-504-M,3.759303971,-28.40828907,-27.74849273,-28.81,7.87,creek,common shiner,may,muscle,,,
CC25-22-504-L,5.401750395,-29.37226711,-29.26430196,-31.4,5.47,creek,common shiner,may,liver,,,
WU-22-04-M,3.78630195,-27.14156107,-26.4901065,-27.57,6.46,creek,common shiner,may,muscle,,,
WU-22-04-L,5.629516317,-29.01677885,-28.99213885,-31.27,4.86,creek,common shiner,may,liver,,,
OP4-22-23-M,3.752710656,-28.28481645,-27.62298678,-28.68,6.26,lake,common shiner,may,muscle,,,
OP9-22-334-M,3.912844147,-27.98628429,-27.37426555,-28.54,6.7,lake,common shiner,may,muscle,,,
WU-22-34-M,3.767016326,-28.87065384,-28.21323785,-29.28,8.16,creek,creek chub,may,muscle,,,
WU-22-34-L,3.905942478,-26.32311695,-25.70893308,-26.87,7.71,creek,creek chub,may,liver,,,
OP2-S22-100-M,3.776921693,-27.43084752,-26.77649179,-27.85,6.46,lake,creek chub,august,muscle,,,
OP7-22-387-M,3.802523832,-27.47550141,-26.82907124,-27.92,7.78,lake,creek chub,may,muscle,,,
OP7-22-387-L,7.949192701,-23.02029923,-23.92948531,-27.57,7.05,lake,creek chub,may,liver,,,
CC12-22-198-M,3.887270002,-26.8616027,-26.24156933,-27.39,6.98,creek,creek chub,may,muscle,,,
CC12-22-198-L,6.184857704,-28.20699087,-28.39205217,-31.01,5.93,creek,creek chub,may,liver,,,
OP1-22-45-M,3.76047182,-28.8171329,-28.15769687,-29.22,6.78,lake,creek chub,may,muscle,,,
OP1-22-45-L,5.416439507,-27.30772489,-27.20508562,-29.35,5.51,lake,creek chub,may,liver,,,
WU-22-13-M,3.807465122,-26.45060953,-25.80571165,-26.9,6.59,creek,creek chub,may,muscle,,,
WU-22-13-L,5.725929627,-26.56132967,-26.57243627,-28.91,5.36,creek,creek chub,may,liver,,,
DN2-22-82-M,3.97915093,-27.09064058,-26.49950641,-27.71,7.05,creek,creek chub,may,muscle,,,
DN2-22-82-L,8.064161984,-25.67647964,-26.63573694,-30.34,6.88,creek,creek chub,may,liver,,,
OP16-A22-01-L,7.52528804,-18.19996484,-18.92748758,-22.33,5.89,lake,creek chub,august,liver,,,
WD-S22-207-M,3.929150482,-30.53014102,-29.92324425,-31.1,6.65,creek,creek chub,august,muscle,,,
UP1-22-117-M,3.887270002,-28.4916027,-27.87156933,-29.02,7.5,creek,creek chub,may,muscle,,,
UP1-22-117-L,5.908881445,-28.71020737,-28.78991322,-31.24,6.94,creek,creek chub,may,liver,,,
CC-S22-101-M,3.91925387,-26.54993867,-25.93993219,-27.11,8.76,creek,creek chub,august,muscle,,,
CC18-22-240-M,3.864669596,-30.2139771,-29.58687983,-30.72,6.56,creek,creek chub,may,muscle,,,
CC18-22-240L,4.678089974,-29.55869093,-29.19672298,-30.87,5.87,creek,creek chub,may,liver,,,
OP5-22-136-M,3.938611304,-26.66077481,-26.05685396,-27.24,6.17,lake,creek chub,may,muscle,,,
OP5-22-136-L,6.132303672,-25.71901936,-25.88384566,-28.47,5.86,lake,bluntnose minnow,may,liver,,,
OP5-22-33-M,3.925194588,-29.60405736,-28.99591716,-30.17,5.6,lake,bluntnose minnow,may,muscle,,,
OP5-22-127-M,3.908473293,-26.22061144,-25.60722132,-26.77,5.82,lake,bluntnose minnow,may,muscle,,,
OP6-22-146-M,3.906003834,-26.9830562,-26.36889158,-27.53,6.4,lake,bluntnose minnow,may,muscle,,,
OP7-22-266-M,3.805039291,-27.6330111,-26.98736087,-28.08,6.48,lake,bluntnose minnow,may,muscle,,,
OP7-22-338-M,3.904675689,-27.19437107,-26.57978998,-27.74,5.89,lake,bluntnose minnow,may,muscle,,,
OP9-22279M,3.993334668,-27.98659868,-27.39995153,-28.62,6.19,lake,bluntnose minnow,may,muscle,,,
OP9-22-279-L,6.554204289,-27.09133775,-27.42085964,-30.26,5.56,lake,bluntnose minnow,may,liver,,,
WD-A22-25-M,3.908570112,-31.06051559,-30.44715584,-31.61,8.34,creek,pearl dace,august,muscle,,,
WD-A22-25-L,5.925826713,-30.51343155,-30.59954166,-33.06,8.92,creek,pearl dace,august,liver,,,
CC7-22-148-M,3.97073899,-29.8889684,-29.29517636,-30.5,8.57,creek,pearl dace,may,muscle,,,
WD-S22-201-M,3.939250939,-33.18014157,-32.57642203,-33.76,5.55,creek,pearl dace,august,muscle,,,
WD-S22-201-L,7.084718103,-30.29612908,-30.83988703,-33.99,4.89,creek,pearl dace,august,liver,,,
WD-A22-33-M,3.915501572,-30.47365344,-29.8624688,-31.03,7.59,creek,pearl dace,august,muscle,,,
WD-22-12-M,3.832848222,-30.14548026,-29.50846697,-30.62,5.89,creek,pearl dace,may,muscle,,,
FU-22-25-M,3.972789943,-29.54693796,-28.95379372,-30.16,6.86,creek,pearl dace,may,muscle,,,
EF4-A22-100-M,3.830683161,-29.50762367,-28.86993699,-29.98,7.9,creek,pearl dace,august,muscle,,,
WD-22-63-M,3.843263172,-28.98516946,-28.35139777,-29.47,7.78,creek,northern redbelly dace,may,muscle,,,
WU-22-33-M,3.891007762,-30.16790232,-29.54903891,-30.7,7.53,creek,northern redbelly dace,may,muscle,,,
WU-22-33-L,3.849112751,-29.98937838,-29.35742898,-30.48,8.87,creek,northern redbelly dace,may,liver,,,
EF4-22-07-M,3.896927816,-29.08204146,-28.46503208,-29.62,8.57,creek,northern redbelly dace,may,muscle,,,
WU-22-39-M,3.941828178,-29.9975901,-29.39468184,-30.58,7.86,creek,northern redbelly dace,may,muscle,,,
WD-A22-11-M,3.77551099,-31.01224412,-30.35745234,-31.43,6.74,creek,yellow perch,august,muscle,,,
WD-A2211-L,5.603838167,-31.20220021,-31.1680871,-33.43,6.39,creek,yellow perch,august,liver,,,
WD-S22-702-M,3.849015264,-28.97947489,-28.34749511,-29.47,7.38,creek,yellow perch,august,muscle,,,
WD-S22-702-L,5.844309383,-29.85413371,-29.90951359,-32.32,6.76,creek,yellow perch,august,liver,,,
WD-A22-14-M,3.785509008,-30.40234608,-29.75064615,-30.83,6.62,creek,yellow perch,august,muscle,,,
WD-A22-12-M,3.777288705,-26.43048418,-25.7762419,-26.85,6.32,creek,yellow perch,august,muscle,,,
WD-A22-12-L,7.1014336,-25.51958074,-26.0702152,-29.23,5.56,creek,yellow perch,august,liver,,,
OP1-S22-700-M,3.822107673,-27.3161134,-26.67576112,-27.78,5.26,lake,yellow perch,august,muscle,,,
OP1-S22-700-L,6.083910973,-26.22692814,-26.37319303,-28.93,3.04,lake,yellow perch,august,liver,,,
OP5-S22-701-M,3.834095083,-28.17424587,-27.53762046,-28.65,6.46,lake,yellow perch,august,muscle,,,
OP5-S22-701-L,5.171759221,-29.02995837,-28.83947605,-30.83,5.56,lake,yellow perch,august,liver,,,
A-22-07-M,3.923745726,-28.07549173,-27.46689626,-28.64,7.67,lake,smallmouth bass,may,muscle,,,
A-22-07-L,5.522103181,-27.56311785,-27.49898471,-29.71,7.93,lake,smallmouth bass,may,liver,,,
A-22-08-M,3.899649843,-26.12934666,-25.51319016,-26.67,7.4,lake,smallmouth bass,may,muscle,,,
A-22-08-L,5.102669667,-26.41835703,-26.20340899,-28.15,7.95,lake,smallmouth bass,may,liver,,,
A-22-02-M,4.209348977,-25.77274451,-25.25528054,-26.62,6.99,lake,smallmouth bass,may,muscle,,,
A-22-02-L,6.021635541,-25.17858081,-25.30106052,-27.82,7.19,lake,smallmouth bass,may,liver,,,
